tribunal,grau,codigo_classe,codigo_formato,orgao_codigo,orgao_nome,data_julgamento,codigo_assunto,data_ajuizamento,tempo_julgamento,assunto_nivel1,assunto_nivel2,assunto_nivel3,assunto_nivel4,assunto_nivel5,classe_nivel1,classe_nivel2,classe_nivel3,classe_nivel4,classe_nivel5,numero_processo
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 1º TITULAR,2015-10-22,11786,2003-03-18,4601,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00016692920038230047
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 1º TITULAR,2020-02-07,11786,2003-03-18,6170,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00016658920038230047
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2015-06-11,5951,2003-05-05,4420,14,5916.0,5951.0,,,2,158.0,1116.0,,,00631276120038230010
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 2º TITULAR,2015-10-22,11786,2003-06-25,4502,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00019568920038230047
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 1º TITULAR,2015-10-22,11786,2003-06-25,4502,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00019577420038230047
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 1º TITULAR,2010-09-30,5946,2003-06-25,2654,14,5916.0,5946.0,,,2,158.0,1116.0,,,00019602920038230047
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 1º TITULAR,2022-09-15,10671,2003-06-25,7022,8826,9148.0,10671.0,,,2,158.0,1116.0,,,00018079320038230047
TJRR,G1,1116,1,2784,VARA CÍVEL 1º TITULAR,2020-02-04,11786,2003-07-24,6039,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00021638820038230047
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2014-05-19,5946,2004-01-12,3780,14,5916.0,5946.0,,,2,158.0,1116.0,,,00762396320048230010
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 1º TITULAR,2020-02-07,11786,2003-06-25,6071,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00019854220038230047
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2011-04-28,5946,2004-01-14,2661,14,5916.0,5946.0,,,2,158.0,1116.0,,,00763366320048230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2015-09-01,7703,2004-03-19,4183,899,7681.0,7690.0,7703.0,,2,158.0,1116.0,,,00794588420048230010
TJRR,G1,1116,1,2782,VARA DA FAZENDA PÚBLICA,2017-10-16,11786,2004-04-15,4932,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00027442320048230030
