"codnivel1","codnivel2","codnivel3","codnivel4","codnivel5","codassunto","descassunto"
14,5913,5914,10527,NULL,10527,"LIVROS / JORNAIS / PERIÓDICOS"
14,5913,5914,10528,NULL,10528,"ENTIDADES SEM FINS LUCRATIVOS"
14,5913,5914,10529,NULL,10529,"PARTIDOS POLÍTICOS"
14,5913,5914,10530,NULL,10530,"IMUNIDADE RECÍPROCA"
14,5913,5914,NULL,NULL,5914,"IMUNIDADE"
14,5913,5915,15001,15002,15002,"OPERAÇÕES COMERCIAIS"
14,5913,5915,15001,15003,15003,"SAÍDA TEMPORÁRIA - MERCADORIAS"
14,5913,5915,15001,15004,15004,"SAÍDA TEMPORÁRIA - VEÍCULOS"
14,5913,5915,15001,NULL,15001,"ÁREAS DE LIVRE COMÉRCIO - ZFM E/OU OUTRAS"
14,5913,5915,NULL,NULL,5915,"ISENÇÃO"
14,5913,10540,NULL,NULL,10540,"COMPETÊNCIA TRIBUTÁRIA"
14,5913,NULL,NULL,NULL,5913,"LIMITAÇÕES AO PODER DE TRIBUTAR"
14,5916,5917,5918,NULL,5918,"INCIDÊNCIA SOBRE PDV"
14,5916,5917,5919,NULL,5919,"INCIDÊNCIA SOBRE APOSENTADORIA"
14,5916,5917,5920,NULL,5920,"INCIDÊNCIA SOBRE APLICAÇÕES FINANCEIRAS"
14,5916,5917,5921,NULL,5921,"INCIDÊNCIA SOBRE LICENÇA-PRÊMIO/ABONO/INDENIZAÇÃO"
14,5916,5917,5922,NULL,5922,"RETIDO NA FONTE"
14,5916,5917,5923,NULL,5923,"INCIDÊNCIA SOBRE FÉRIAS COMPENSADAS"
14,5916,5917,5924,NULL,5924,"INCIDÊNCIA SOBRE PROVENTOS DE PREVIDÊNCIA PRIVADA"
14,5916,5917,5925,NULL,5925,"INCIDÊNCIA SOBRE PARTICIPAÇÃO NOS LUCROS"
14,5916,5917,5926,NULL,5926,"INCIDÊNCIA SOBRE LUCRO IMOBILIÁRIO"
14,5916,5917,5927,NULL,5927,"INCIDÊNCIA SOBRE 1/3 DE FÉRIAS (ART. 7º, XVII DA CF)"
14,5916,5917,5928,NULL,5928,"INCIDÊNCIA SOBRE 13° SALÁRIO"
14,5916,5917,5929,NULL,5929,"INCIDÊNCIA SOBRE FUNÇÃO COMISSIONADA"
14,5916,5917,5930,NULL,5930,"INCIDÊNCIA SOBRE HORA EXTRA"
14,5916,5917,5931,NULL,5931,"INCIDÊNCIA DECORRENTE DE DESLIGAMENTO DE PLANO DE PREVIDÊNCIA PRIVADA"
14,5916,5917,5932,NULL,5932,"INCIDÊNCIA DECORRENTE DE LIQUIDAÇÃO DE ENTIDADE DE PREVIDÊNCIA PRIVADA"
14,5916,5917,10532,NULL,10532,"INCIDÊNCIA SOBRE AUXÍLIO-CONDUÇÃO"
14,5916,5917,10533,NULL,10533,"INCIDÊNCIA SOBRE AUXÍLIO-CRECHE"
14,5916,5917,10661,NULL,10661,"INCIDÊNCIA SOBRE ABONO DE PERMANÊNCIA"
14,5916,5917,10689,NULL,10689,"CORREÇÃO DA TABELA"
14,5916,5917,14988,14989,14989,"ATIVIDADE PARLAMENTAR"
14,5916,5917,14988,NULL,14988,"INCIDÊNCIA SOBRE AJUDA DE CUSTO"
14,5916,5917,14992,NULL,14992,"INCIDÊNCIA SOBRE BENEFÍCIOS PAGOS ACUMULADAMENTE"
14,5916,5917,14993,NULL,14993,"INCIDÊNCIA SOBRE SERVIÇOS TÉCNICOS PRESTADOS A ORGANISMOS INTERNACIONAIS (PNUD/UNESCO/ONU)"
14,5916,5917,14994,NULL,14994,"INCIDÊNCIA SOBRE INDENIZAÇÃO A ANISTIADOS POLÍTICOS, CIVIS OU MILITARES"
14,5916,5917,14995,NULL,14995,"INCIDÊNCIA SOBRE INDENIZAÇÃO POR RESCISÃO DE CONTRATO DE TRABALHO"
14,5916,5917,NULL,NULL,5917,"IRPF/IMPOSTO DE RENDA DE PESSOA FÍSICA"
14,5916,5933,5934,NULL,5934,"MICROEMPRESA"
14,5916,5933,5935,NULL,5935,"DEMONSTRAÇÕES FINANCEIRAS (DCTF)"
14,5916,5933,5936,NULL,5936,"INCIDÊNCIA SOBRE APLICAÇÕES FINANCEIRAS"
14,5916,5933,5937,NULL,5937,"RETIDO NA FONTE"
14,5916,5933,5938,NULL,5938,"INCIDÊNCIA SOBRE LUCRO"
14,5916,5933,5939,NULL,5939,"COOPERATIVA"
14,5916,5933,5940,NULL,5940,"COMPENSAÇÃO DE PREJUÍZOS"
14,5916,5933,14996,NULL,14996,"REDUÇÃO DE ALÍQUOTA IR/CSLL - SERVIÇOS HOSPITALARES"
14,5916,5933,NULL,NULL,5933,"IRPJ/IMPOSTO DE RENDA DE PESSOA JURÍDICA"
14,5916,5941,5942,NULL,5942,"IMPORTAÇÃO DE BENS USADOS"
14,5916,5941,5943,NULL,5943,"DRAWBACK"
14,5916,5941,14962,NULL,14962,"ISENÇÃO SOBRE BENS CONTIDOS EM REMESSAS POSTAIS INTERNACIONAIS"
14,5916,5941,NULL,NULL,5941,"II/ IMPOSTO SOBRE IMPORTAÇÃO"
14,5916,5944,NULL,NULL,5944,"IE/ IMPOSTO SOBRE EXPORTAÇÃO"
14,5916,5945,10871,NULL,10871,"NÃO CUMULATIVIDADE"
14,5916,5945,10903,NULL,10903,"INCIDÊNCIA SOBRE DESCONTO INCONDICIONAL"
14,5916,5945,10947,NULL,10947,"PRINCÍPIO DA SELETIVIDADE"
14,5916,5945,14963,14964,14964,"VEÍCULOS"
14,5916,5945,14963,14964,14965,"MOTORISTA DE TÁXI"
14,5916,5945,14963,14964,14966,"PESSOA PORTADORA DE DEFICIÊNCIA"
14,5916,5945,14963,NULL,14963,"SOBRE AQUISIÇÃO DE BENS/VEÍCULOS"
14,5916,5945,14967,14986,14986,"ADMISSÃO TEMPORÁRIA"
14,5916,5945,14967,14987,14987,"VEÍCULOS - USO PRÓPRIO"
14,5916,5945,14967,NULL,14967,"SOBRE IMPORTAÇÃO DE BENS/VEÍCULOS"
14,5916,5945,NULL,NULL,5945,"IPI/ IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS"
14,5916,5946,5947,NULL,5947,"ICMS/IMPORTAÇÃO"
14,5916,5946,10531,NULL,10531,"ICMS / INCIDÊNCIA SOBRE O ATIVO FIXO"
14,5916,5946,10872,NULL,10872,"NAO CUMULATIVIDADE"
14,5916,5946,NULL,NULL,5946,"ICMS/ IMPOSTO SOBRE CIRCULAÇÃO DE MERCADORIAS"
14,5916,5948,5949,NULL,5949,"INCIDÊNCIA SOBRE AÇÕES DE COMPANHIAS ABERTAS"
14,5916,5948,NULL,NULL,5948,"IOC/IOF IMPOSTO SOBRE OPERAÇÕES DE CRÉDITO, CÂMBIO E SEGURO, OU RELATIVAS A TÍTULOS OU VALORES MOBILIÁRIOS"
14,5916,5950,NULL,NULL,5950,"ITR/ IMPOSTO TERRITORIAL RURAL"
14,5916,5951,NULL,NULL,5951,"ISS/ IMPOSTO SOBRE SERVIÇOS"
14,5916,5952,NULL,NULL,5952,"IPTU/ IMPOSTO PREDIAL E TERRITORIAL URBANO"
14,5916,5953,NULL,NULL,5953,"IPVA - IMPOSTO SOBRE PROPRIEDADE DE VEÍCULOS AUTOMOTORES"
14,5916,5954,NULL,NULL,5954,"ITBI - IMPOSTO DE TRANSMISSÃO INTERVIVOS DE BENS MÓVEIS E IMÓVEIS"
14,5916,5955,NULL,NULL,5955,"ITCD - IMPOSTO DE TRANSMISSÃO CAUSA MORTIS"
14,5916,10690,NULL,NULL,10690,"IPMF - IMPOSTO PROVISÓRIO SOBRE MOVIMENTAÇÃO FINANCEIRA"
14,5916,NULL,NULL,NULL,5916,"IMPOSTOS"
14,5956,5957,5958,NULL,5958,"TAXA ANUAL POR HECTARE"
14,5956,5957,5959,NULL,5959,"TAXA DE ARMAZENAMENTO"
14,5956,5957,5960,NULL,5960,"TAXA DE DESPACHO ADUANEIRO"
14,5956,5957,5961,NULL,5961,"TAXA DE EXPLORAÇÃO MINERAL"
14,5956,5957,5962,NULL,5962,"TAXA DE FISCALIZAÇÃO AMBIENTAL"
14,5956,5957,5963,NULL,5963,"TAXA DE GUIA DE IMPORTAÇÃO"
14,5956,5957,5964,NULL,5964,"TAXA DE LICENÇA DE IMPORTAÇÃO"
14,5956,5957,5965,NULL,5965,"TAXA DE MELHORAMENTO DE PORTOS"
14,5956,5957,5966,NULL,5966,"TAXA DE PERMANÊNCIA"
14,5956,5957,5967,NULL,5967,"TAXA DE SAÚDE SUPLEMENTAR"
14,5956,5957,5968,NULL,5968,"TAXA DE FISCALIZAÇÃO DA COMISSÃO DE VALORES MOBILIÁRIOS"
14,5956,5957,5969,NULL,5969,"TAXA JUDICIÁRIA"
14,5956,5957,5970,NULL,5970,"TAXA DE AFERIÇÃO DE EQUIPAMENTOS DE METROLOGIA"
14,5956,5957,15052,NULL,15052,"TAXA DE FISCALIZAÇÃO DE INSTALAÇÃO"
14,5956,5957,15053,NULL,15053,"TAXA DE FISCALIZAÇÃO DE FUNCIONAMENTO"
14,5956,5957,15054,NULL,15054,"TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA"
14,5956,5957,15055,NULL,15055,"TAXA DE SERVIÇO ADMINISTRATIVO - TSA"
14,5956,5957,NULL,NULL,5957,"FEDERAIS"
14,5956,5971,NULL,NULL,5971,"ESTADUAIS"
